profiling binary stats to c:/leo.repo/leo-editor/leoProfile

reading settings in C:/leo.repo/leo-editor/leo/config/leoSettings.leo

===== FAST (leoAtFile) ===== 


===== FAST (leoFileCommands) ===== 

reading settings in C:/Users/edreamleo/.leo/myLeoSettings.leo
reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
reading settings in C:/leo.repo/leo-editor/leo/themes/EKRDark.leo

Leo 5.7.4 devel, build 20180525162844, Fri May 25 16:28:44 CDT 2018
Git repo info: branch = fast-read, commit = 7ae56de86066
Python 3.6.3, PyQt version 5.6.2
Windows 10 AMD64 (build 10.0.17134) SP0
** isPython3: True
** caching enabled

reading settings in c:/leo.repo/leo-editor/leo/core/leoPy.leo
readExternalFiles 1.401 sec.
wrote recent file: C:/Users/edreamleo/.leo/.leoRecentFiles.txt
Wed Jun  6 18:42:07 2018    c:/leo.repo/leo-editor/leoProfile

         11685846 function calls (11653798 primitive calls) in 8.145 seconds

   Ordered by: internal time
   List reduced from 6049 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14459    0.021    0.000    0.339    0.000 re.py:286(_compile)
   4560/6    0.021    0.000    0.045    0.008 leoFileCommands.py:2692(v_element_visitor)
   250314    0.020    0.000    0.020    0.000 {method 'isalnum' of 'str' objects}
    13047    0.020    0.000    0.166    0.000 leoGlobals.py:6717(os_path_expanduser)
    13772    0.019    0.000    0.080    0.000 leoNodes.py:1282(safeMoveToThreadNext)
    17087    0.018    0.000    0.032    0.000 nodetags.py:185(get_tags)
       10    0.018    0.002    0.018    0.002 {built-in method builtins.compile}
    24213    0.018    0.000    0.021    0.000 leoNodes.py:1117(moveToFirstChild)
    59262    0.018    0.000    0.023    0.000 leoGlobals.py:5543(isString)
    11373    0.017    0.000    0.122    0.000 leoGlobals.py:2954(compute_directives_re)
     5428    0.017    0.000    0.017    0.000 {built-in method winreg.EnumKey}
    19658    0.016    0.000    0.098    0.000 leoCommands.py:749(all_positions)
        4    0.016    0.004    0.016    0.004 {built-in method show}
    19424    0.016    0.000    0.022    0.000 leoNodes.py:1104(moveToBack)
        1    0.015    0.015    0.015    0.015 {msleep}
     3335    0.015    0.000    0.435    0.000 leoCommands.py:1936(scanAtPathDirectives)
     6737    0.015    0.000    0.032    0.000 leoGlobals.py:4572(skip_id)
      524    0.015    0.000    0.015    0.000 {built-in method nt._isdir}
    17/15    0.015    0.001    0.023    0.002 {built-in method _imp.create_dynamic}
   133155    0.014    0.000    0.014    0.000 {built-in method nt.fspath}
 3186/403    0.014    0.000    0.056    0.000 sre_compile.py:64(_compile)
        1    0.014    0.014    0.135    0.135 mimetypes.py:230(read_windows_registry)
      169    0.013    0.000    0.015    0.000 leoAtFile.py:225(initReadIvars)
     9835    0.013    0.000    0.013    0.000 {built-in method today}
    13778    0.013    0.000    0.108    0.000 leoCommands.py:832(safe_all_positions)
    11076    0.013    0.000    0.067    0.000 leoNodes.py:1999(findAtFileName)
    46987    0.013    0.000    0.023    0.000 leoNodes.py:2599(__get_u)
      834    0.013    0.000    0.013    0.000 {built-in method winreg.QueryValueEx}
    36253    0.013    0.000    0.013    0.000 {method 'split' of 'str' objects}
     4749    0.012    0.000    0.025    0.000 ntpath.py:199(split)
        2    0.012    0.006    0.018    0.009 QNCalendarWidget.py:35(build)
   105011    0.011    0.000    0.012    0.000 sre_parse.py:248(match)
        8    0.011    0.001    0.012    0.001 {built-in method addTab}
    26114    0.011    0.000    0.011    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
     1348    0.011    0.000    0.923    0.001 leoGlobals.py:3448(fullPath)
     1307    0.011    0.000    0.141    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    39325    0.011    0.000    0.015    0.000 todo.py:607(getat)
       44    0.011    0.000    0.011    0.000 {method 'execute' of 'sqlite3.Connection' objects}
     8200    0.011    0.000    0.015    0.000 leoGlobals.py:4654(skip_ws)
    17539    0.010    0.000    0.017    0.000 leoGlobals.py:4516(match)
    13053    0.010    0.000    0.017    0.000 ntpath.py:308(expanduser)
    17086    0.010    0.000    0.060    0.000 leoChapters.py:245(parseHeadline)
    19424    0.010    0.000    0.049    0.000 leoNodes.py:697(getBack)
      683    0.010    0.000    0.010    0.000 {method 'decode' of 'bytes' objects}
    10438    0.010    0.000    0.416    0.000 leoNodes.py:2116(isAtIgnoreNode)
    49398    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
     7528    0.010    0.000    0.061    0.000 leoGlobals.py:6748(<listcomp>)
        2    0.009    0.005    0.009    0.005 {built-in method setCalendarWidget}
    29520    0.009    0.000    0.154    0.000 leoCommands.py:737(all_unique_nodes)
        2    0.009    0.004    0.160    0.080 leoChapters.py:318(setAllChapterNames)
      727    0.009    0.000    0.009    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        1    0.008    0.008    0.008    0.008 backend.py:71(Backend)
     4043    0.008    0.000    0.012    0.000 leoMenu.py:247(<listcomp>)
    17343    0.008    0.000    0.008    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     8708    0.008    0.000    0.081    0.000 ntpath.py:538(abspath)
      184    0.008    0.000    0.008    0.000 {built-in method _hashlib.openssl_md5}
     8708    0.008    0.000    0.008    0.000 {built-in method nt._getfullpathname}
        1    0.008    0.008    0.062    0.062 backlink.py:412(loadLinksInt)
     7528    0.008    0.000    0.480    0.000 leoCommands.py:1884(os_path_finalize_join)
   9829/1    0.008    0.000    0.189    0.189 todo.py:497(new)
      172    0.008    0.000    0.008    0.000 {built-in method nt.access}
    15089    0.007    0.000    0.012    0.000 {built-in method builtins.getattr}
   104773    0.007    0.000    0.007    0.000 {built-in method builtins.ord}
     5893    0.007    0.000    0.017    0.000 enum.py:801(__and__)
    34709    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
        1    0.007    0.007    0.173    0.173 todo.py:519(loadAllIcons)
    96309    0.007    0.000    0.007    0.000 {method 'isspace' of 'str' objects}
     5628    0.007    0.000    0.013    0.000 leoGlobals.py:1881(add)
     5632    0.006    0.000    0.068    0.000 leoGlobals.py:6826(os_path_normpath)
    12544    0.006    0.000    0.013    0.000 leoNodes.py:102(new_vnode_helper)
4489/2090    0.006    0.000    0.008    0.000 sre_parse.py:173(getwidth)
    16156    0.006    0.000    0.013    0.000 leoNodes.py:2173(bodyString)
    42249    0.006    0.000    0.006    0.000 {method 'group' of '_sre.SRE_Match' objects}
    11227    0.006    0.000    0.013    0.000 leoGlobals.py:1931(get)
     7931    0.006    0.000    0.167    0.000 leoGlobals.py:6801(<listcomp>)
       19    0.006    0.000    0.073    0.004 leoCommands.py:1181(setChanged)
